category,city,Day,Delivery slot:,email_id,from,mapped_brands,Month,order_id,ordered_on,payment_mode,Placed on:,platform,postal_code,promotion_applied:,seller,user_code,Actual amount paid,Amazon Pay balance:,amount,Amount Paid,amount_order,Bank discount,Cart discount,Contribution,coupon_discount,Credit availed from bigbasket Wallet:,Debit applied from bigbasket Wallet:,Gift Wrap:,Loyalty Points Used,Myntra Credit*,Number of Records,offer_discount,Order Savings,payment_pending,quantity,saving,Service Fee,Shipping_and_Handling_charges,sno,sub _total,tax,time,Total saved,Total Savings:,Wallet used,You Paid
Apparel & Accessories,,Tuesday,,3940,updates@myntra.com,aujjessa,5,1109737-3374821-7563803,14-05-2019 06:38:08 pm,COD,,Myntra,136119,,FashionTech,csmcpya5,2385,0,1499,0,2391,0,0,,120,0,0,0,0,0,1,825,,0,1,0,0,0,,0,114,18,945,0,0,0
Apparel & Accessories,,Tuesday,,3940,updates@myntra.com,pluss,5,1109737-3374821-7563803,14-05-2019 06:38:08 pm,COD,,Myntra,136119,,Shiva International Apparels,csmcpya5,2385,0,1770,0,2391,0,0,,120,0,0,0,0,0,1,1151,,0,1,0,0,0,,0,114,18,1271,0,0,0
Apparel & Accessories,,Tuesday,,3940,updates@myntra.com,pluss,5,1109737-3374821-7563803,14-05-2019 06:38:08 pm,COD,,Myntra,136119,,Shiva International Apparels,csmcpya5,2385,0,1770,0,2391,0,0,,120,0,0,0,0,0,1,1151,,0,1,0,0,0,,0,114,18,1271,0,0,0
Apparel & Accessories,,Tuesday,,3940,updates@myntra.com,rare roots,5,1109737-3374821-7563803,14-05-2019 06:38:08 pm,COD,,Myntra,136119,,EPIC BRANDS PVT LTD,csmcpya5,2385,0,1199,0,2391,0,0,,120,0,0,0,0,0,1,720,,0,1,0,0,0,,0,114,18,840,0,0,0
Apparel & Accessories,,Thursday,,25974,updates@myntra.com,nike,5,1109907-0579373-0448203,16-05-2019 05:46:48 pm,COD,,Myntra,751021,,Funfash,ct8ihn9v,495,0,495,0,495,0,0,,0,0,0,0,0,0,1,0,,0,1,0,0,0,,0,0,17,0,0,0,0
Apparel & Accessories,Gurgaon,Tuesday,,169859,updates@myntra.com,batman,5,1110335-2880882-4554101,21-05-2019 04:44:42 pm,Online,,Myntra,122001,,Funfash,cslt8u6z,4326,0,1299,0,4229,0,0,,109,0,0,0,0,0,1,845,,0,1,0,0,0,,0,206,16,954,0,0,0
Apparel & Accessories,Gurgaon,Tuesday,,169859,updates@myntra.com,nush,5,1110335-2880882-4554101,21-05-2019 04:44:42 pm,Online,,Myntra,122001,,Proleague,cslt8u6z,4326,0,1499,0,4229,0,0,,109,0,0,0,0,0,1,975,,0,1,0,0,0,,0,206,16,1084,0,0,0
Apparel & Accessories,Gurgaon,Tuesday,,169859,updates@myntra.com,all about you,5,1110335-2880882-4554101,21-05-2019 04:44:42 pm,Online,,Myntra,122001,,Mayazen,cslt8u6z,4326,0,1499,0,4229,0,0,,109,0,0,0,0,0,1,450,,0,1,0,0,0,,0,206,16,559,0,0,0
Apparel & Accessories,Gurgaon,Tuesday,,169859,updates@myntra.com,rare,5,1110335-2880882-4554101,21-05-2019 04:44:42 pm,Online,,Myntra,122001,,EPIC BRANDS PVT LTD,cslt8u6z,4326,0,2099,0,4229,0,0,,109,0,0,0,0,0,1,1260,,0,1,0,0,0,,0,206,16,1369,0,0,0
Apparel & Accessories,Gurgaon,Tuesday,,169859,updates@myntra.com,firstclap,5,1110335-2880882-4554101,21-05-2019 04:44:42 pm,Online,,Myntra,122001,,Proleague,cslt8u6z,4326,0,1699,0,4229,0,0,,109,0,0,0,0,0,1,935,,0,1,0,0,0,,0,206,16,1044,0,0,0
Apparel & Accessories,Gurgaon,Tuesday,,169859,updates@myntra.com,bitterlime,5,1110335-2880882-4554101,21-05-2019 04:44:42 pm,Online,,Myntra,122001,,SANIL CREATIONS PRIVATE LIMITED,cslt8u6z,4326,0,999,0,4229,0,0,,109,0,0,0,0,0,1,400,,0,1,0,0,0,,0,206,16,509,0,0,0
Apparel & Accessories,Sibsagar,Sunday,,34402,updates@myntra.com,all about you,5,1110766-2569647-0399901,26-05-2019 04:26:48 pm,COD,,Myntra,785640,,Mayazen,csufrvb1,405.99,0,2499,0,1249,0,0,,25,0,0,0,0,965.01,1,1250,,0,1,0,0,0,,0,147,16,1275,0,0,0
Apparel & Accessories,,Wednesday,,927,updates@myntra.com,roadster,5,1110992-3900754-6238901,29-05-2019 08:38:21 am,COD,,Myntra,535128,,WandWagon,crhpca3j,1486,0,2099,0,1259,0,0,,0,0,0,0,0,0,1,840,,0,1,0,0,0,,0,227,8,840,0,0,0
Apparel & Accessories,Khammam,Wednesday,,23868,updates@myntra.com,highlander,5,1111008-2216012-0069103,29-05-2019 11:40:53 am,Online,,Myntra,507001,,Blumentor,cslrthdm,1043.1,0,1149,0,1138,0,0,,34,0,0,0,115.9,0,1,690,,0,1,0,0,0,,0,55,11,724,0,0,0
Apparel & Accessories,Khammam,Wednesday,,23868,updates@myntra.com,herenow,5,1111008-2216012-0069103,29-05-2019 11:40:53 am,Online,,Myntra,507001,,Unistand,cslrthdm,1043.1,0,1699,0,1138,0,0,,34,0,0,0,115.9,0,1,1020,,0,1,0,0,0,,0,55,11,1054,0,0,0
Apparel & Accessories,,Thursday,,32859,updates@myntra.com,vaamsi,5,1111117-6761024-9304401,30-05-2019 06:03:47 pm,COD,,Myntra,262701,,VIVAANTA FASHION,cs9ir1mc,894,0,864,0,851,0,0,,0,0,0,0,0,0,1,432,,0,1,0,0,0,,0,43,18,432,0,0,0
Apparel & Accessories,,Thursday,,32859,updates@myntra.com,vaamsi,5,1111117-6761024-9304401,30-05-2019 06:03:47 pm,COD,,Myntra,262701,,VIVAANTA FASHION,cs9ir1mc,894,0,999,0,851,0,0,,0,0,0,0,0,0,1,580,,0,1,0,0,0,,0,43,18,580,0,0,0
Apparel & Accessories,Lucknow,Tuesday,,32929,updates@myntra.com,roadster,6,1111534-4005250-5378501,04-06-2019 01:49:11 pm,COD,,Myntra,226009,,WandWagon,cs9ir1mc,5345,0,999,0,5146,0,0,,50,0,0,0,0,0,1,400,,0,1,0,0,0,,0,249,13,450,0,0,0
Apparel & Accessories,Lucknow,Tuesday,,32929,updates@myntra.com,mufti,6,1111534-4005250-5378501,04-06-2019 01:49:11 pm,COD,,Myntra,226009,,Blumentor,cs9ir1mc,5345,0,1399,0,5146,0,0,,50,0,0,0,0,0,1,560,,0,1,0,0,0,,0,249,13,610,0,0,0
Apparel & Accessories,Lucknow,Tuesday,,32929,updates@myntra.com,louis philippe jeans,6,1111534-4005250-5378501,04-06-2019 01:49:11 pm,COD,,Myntra,226009,,Mayazen,cs9ir1mc,5345,0,2599,0,5146,0,0,,50,0,0,0,0,0,1,390,,0,1,0,0,0,,0,249,13,440,0,0,0
Apparel & Accessories,Lucknow,Tuesday,,32929,updates@myntra.com,flying machine,6,1111534-4005250-5378501,04-06-2019 01:49:11 pm,COD,,Myntra,226009,,Wiztech Corp,cs9ir1mc,5345,0,1999,0,5146,0,0,,50,0,0,0,0,0,1,500,,0,1,0,0,0,,0,249,13,550,0,0,0
Apparel & Accessories,Bangalore,Saturday,,8279,updates@myntra.com,roadster,6,1111846-4647197-3231503,08-06-2019 04:30:15 am,COD,,Myntra,560037,,WandWagon,crz9opxx,1103,0,1299,0,909,0,0,,0,0,0,0,0,0,1,390,,0,1,0,0,149,,0,45,4,390,0,0,0
Electronics,Delhi,Saturday,,37509,updates@myntra.com,boat,6,1111857-6477491-2101603,08-06-2019 07:36:38 am,COD,,Myntra,110093,,Wiztech Corp,cs8tztpb,1411,0,2990,0,1196,0,0,,0,0,0,0,0,0,1,1794,,0,1,0,0,0,,0,215,7,1794,0,0,0
Apparel & Accessories,Bhagalpur,Sunday,,8310,updates@myntra.com,roadster,6,1111955-4442999-3367303,09-06-2019 10:46:36 am,COD,,Myntra,813213,,WandWagon,crz9opxx,967,0,1299,0,779,0,0,,0,0,0,0,0,0,1,520,,0,1,0,0,149,,0,39,10,520,0,0,0
Apparel & Accessories,Gurgaon,Monday,,170766,updates@myntra.com,tweens,6,1112014-0087790-1309803,10-06-2019 03:03:04 am,Online,,Myntra,122001,,Belle Lingeries Pvt. Ltd.,cslt8u6z,2416,0,660,0,2331,0,0,,0,0,0,0,0,0,1,20,,0,1,0,0,0,,0,85,3,20,0,0,0
Apparel & Accessories,Gurgaon,Monday,,170766,updates@myntra.com,masha,6,1112014-0087790-1309803,10-06-2019 03:03:04 am,Online,,Myntra,122001,,FashionTech,cslt8u6z,2416,0,699,0,2331,0,0,,0,0,0,0,0,0,1,350,,0,1,0,0,0,,0,85,3,350,0,0,0
Apparel & Accessories,Gurgaon,Monday,,170766,updates@myntra.com,lux cozi for her,6,1112014-0087790-1309803,10-06-2019 03:03:04 am,Online,,Myntra,122001,,Proleague,cslt8u6z,2416,0,499,0,2331,0,0,,0,0,0,0,0,0,1,200,,0,1,0,0,0,,0,85,3,200,0,0,0
Apparel & Accessories,Gurgaon,Monday,,170766,updates@myntra.com,leading lady,6,1112014-0087790-1309803,10-06-2019 03:03:04 am,Online,,Myntra,122001,,VACHI CREATIONS,cslt8u6z,2416,0,1047,0,2331,0,0,,0,0,0,0,0,0,1,576,,0,1,0,0,0,,0,85,3,576,0,0,0
"Food, Beverages & Tobacco",Gurgaon,Monday,,170766,updates@myntra.com,dollar missy,6,1112014-0087790-1309803,10-06-2019 03:03:04 am,Online,,Myntra,122001,,Proleague,cslt8u6z,2416,0,716,0,2331,0,0,,0,0,0,0,0,0,1,144,,0,1,0,0,0,,0,85,3,144,0,0,0
Apparel & Accessories,Bhagalpur,Tuesday,,8353,updates@myntra.com,roadster,6,1112122-1036319-6849303,11-06-2019 09:04:14 am,COD,,Myntra,813213,,WandWagon,crz9opxx,830,0,1299,0,649,0,0,,0,0,0,0,0,0,1,650,,0,1,0,0,149,,0,32,9,650,0,0,0
Apparel & Accessories,Ranchi,Tuesday,,2434,updates@myntra.com,biba,6,1112141-6061750-9229603,11-06-2019 02:38:48 pm,Online,,Myntra,834008,,Blumentor,cshwjb3h,3712,0,4699,0,4699,0,0,,987,0,0,0,0,0,1,0,,0,1,0,0,0,,0,0,14,987,0,0,0
Apparel & Accessories,Ranchi,Thursday,,2451,updates@myntra.com,roadster,6,1112334-8551468-1350003,13-06-2019 09:03:15 pm,COD,,Myntra,834008,,WandWagon,cshwjb3h,988,0,1599,0,799,0,0,,0,0,0,0,0,0,1,800,,0,1,0,0,149,,0,40,21,800,0,0,0
Apparel & Accessories,Visakhapatnam,Thursday,,30796,updates@myntra.com,united colors of benetton,6,1112924-8396392-6285101,20-06-2019 11:57:32 pm,Online,,Myntra,531031,,Proleague,cs9ir237,1891,0,2199,0,1817,0,0,,16,0,0,0,0,0,1,1540,,0,1,0,0,0,,0,90,23,1556,0,0,0
Apparel & Accessories,Visakhapatnam,Thursday,,30796,updates@myntra.com,flying machine,6,1112924-8396392-6285101,20-06-2019 11:57:32 pm,Online,,Myntra,531031,,Wiztech Corp,cs9ir237,1891,0,1599,0,1817,0,0,,16,0,0,0,0,0,1,1040,,0,1,0,0,0,,0,90,23,1056,0,0,0
Apparel & Accessories,Visakhapatnam,Thursday,,30796,updates@myntra.com,united colors of benetton,6,1112924-8396392-6285101,20-06-2019 11:57:32 pm,Online,,Myntra,531031,,Proleague,cs9ir237,1891,0,2399,0,1817,0,0,,16,0,0,0,0,0,1,1800,,0,1,0,0,0,,0,90,23,1816,0,0,0
Apparel & Accessories,Vellore,Saturday,,52968,updates@myntra.com,scuderia ferrari,6,1113072-1523678-1356203,22-06-2019 08:58:23 am,COD,,Myntra,632007,,Unistand,csmj7cf4,11000,0,16950,0,9322,0,0,,0,0,0,0,0,0,1,7628,,0,1,0,0,0,,0,1678,8,7628,0,0,0
Apparel & Accessories,Kanpur,Saturday,,1281,updates@myntra.com,aks,6,1113077-7426112-1083803,22-06-2019 10:32:14 am,Online,,Myntra,208007,,FashionTech,csmcpzbm,510,0,1099,0,439,0,0,,0,0,0,0,0,0,1,660,,0,1,0,0,49,,0,22,10,660,0,0,0
Apparel & Accessories,Gulbarga,Saturday,,9086,updates@myntra.com,mast,6,1113092-9810533-7199703,22-06-2019 02:45:31 pm,COD,,Myntra,585103,,Elixirnet,csgugg0k,943,0,1999,0,799,0,0,,0,0,0,0,0,0,1,1200,,0,1,0,0,0,,0,144,14,1200,0,0,0
Health & Beauty,Gulbarga,Saturday,,9089,updates@myntra.com,maybelline new york,6,1113094-7083585-4212803,22-06-2019 03:14:19 pm,COD,,Myntra,585103,,Wiztech Corp,csgugg0k,496,0,600,0,420,0,0,,0,0,0,0,0,0,1,180,,0,2,0,0,0,,0,76,15,180,0,0,0
Apparel & Accessories,Kanchipuram,Saturday,,97784,updates@myntra.com,red tape,6,1113095-0760195-3795903,22-06-2019 03:22:36 pm,Online,,Myntra,600119,,Blumentor,cs1wf6e0,1725,0,6095,0,1523,0,0,,61,0,0,0,0,0,1,4572,,0,1,0,0,0,,0,263,15,4633,0,0,0
Apparel & Accessories,Nagar,Sunday,,1398,updates@myntra.com,fastrack,6,1113174-8663772-1282403,23-06-2019 01:42:31 pm,COD,,Myntra,500084,,Elixirnet,cs04riar,762,0,995,0,646,0,0,,0,0,0,0,0,0,1,349,,0,1,0,0,0,,0,116,13,349,0,0,0
Apparel & Accessories,Surat,Sunday,,5851,updates@myntra.com,herenow,6,1113178-5932602-0594701,23-06-2019 02:32:23 pm,COD,,Myntra,395009,,Unistand,csmcpz6i,517,0,1699,0,509,0,0,,17,0,0,0,0,0,1,1190,,0,1,0,0,0,,0,25,14,1207,0,0,0
Apparel & Accessories,Seoni,Monday,,53542,updates@myntra.com,hrx,6,1113234-2745108-2877801,24-06-2019 06:34:03 am,Online,,Myntra,480661,,Unistand,cspjw2g3,0,0,1799,0,0,0,0,,0,0,0,0,0,0,1,1080,,0,1,0,0,0,,0,0,6,1080,0,0,0
Apparel & Accessories,Seoni,Monday,,53542,updates@myntra.com,hrx by hrithik roshan,6,1113234-2745108-2877801,24-06-2019 06:34:03 am,Online,,Myntra,480661,,Unistand,cspjw2g3,0,0,699,0,0,0,0,,0,0,0,0,0,0,1,350,,0,1,0,0,0,,0,0,6,350,0,0,0
Apparel & Accessories,Noida,Monday,,33384,updates@myntra.com,style quotient,6,1113241-9367286-1520701,24-06-2019 08:08:07 am,COD,,Myntra,201301,,Krislon Synthetics Pvt.Ltd,cs9ir1mc,519,0,1499,0,494,0,0,,0,0,0,0,0,0,1,1005,,0,1,0,0,0,,0,25,8,1005,0,0,0
Apparel & Accessories,Rampurhat,Monday,,31335,updates@myntra.com,freehand,6,1113256-9096019-7800001,24-06-2019 12:18:10 pm,Online,,Myntra,731224,,WandWagon,cs8tzt8j,550,0,2099,0,524,0,0,,0,0,0,0,0,0,1,1575,,0,1,0,0,0,,0,26,12,1575,0,0,0
Luggage & Bags,Guntakal,Monday,,3181,updates@myntra.com,impulse,6,1113267-0934479-6189403,24-06-2019 03:07:24 pm,COD,,Myntra,515801,,FashionTech,crz9oq5v,1273,0,4499,0,1124,0,0,,45,0,0,0,0,0,1,3375,,0,1,0,0,0,,0,194,15,3420,0,0,0
Apparel & Accessories,Guntakal,Monday,,3183,updates@myntra.com,levis,6,1113267-6242001-6244603,24-06-2019 03:16:14 pm,COD,,Myntra,515801,,Mayazen,crz9oq5v,513,0,978,0,489,0,0,,0,0,0,0,0,0,1,489,,0,1,0,0,0,,0,24,15,489,0,0,0
Apparel & Accessories,Guntakal,Monday,,3185,updates@myntra.com,roadster,6,1113268-4689671-9690403,24-06-2019 03:42:27 pm,Online,,Myntra,515801,,WandWagon,crz9oq5v,278,0,699,0,279,0,0,,14,0,0,0,0,0,1,420,,0,1,0,0,0,,0,13,15,434,0,0,0
Apparel & Accessories,,Monday,,23245,updates@myntra.com,saree mall,6,1113278-2150139-6938803,24-06-2019 06:12:45 pm,COD,,Myntra,520013,,SAREE MALL,cspjw2i0,503,0,2399,0,479,0,0,,0,0,0,0,0,0,1,1920,,0,1,0,0,0,,0,24,18,1920,0,0,0
Health & Beauty,Barasat,Monday,,2632,updates@myntra.com,maybelline new york,6,1113278-5975138-1216901,24-06-2019 10:13:02 pm,COD,,Myntra,700127,,Wiztech Corp,cs5kl0nh,0,0,550,0,0,0,0,,0,0,0,0,0,0,1,165,,0,1,0,0,0,,0,0,22,165,0,0,0
Health & Beauty,Barasat,Monday,,2632,updates@myntra.com,maybelline new york,6,1113278-5975138-1216901,24-06-2019 10:13:02 pm,COD,,Myntra,700127,,Wiztech Corp,cs5kl0nh,0,0,475,0,0,0,0,,0,0,0,0,0,0,1,119,,0,1,0,0,0,,0,0,22,119,0,0,0
Health & Beauty,Barasat,Monday,,2632,updates@myntra.com,lakme,6,1113278-5975138-1216901,24-06-2019 10:13:02 pm,COD,,Myntra,700127,,WandWagon,cs5kl0nh,0,0,650,0,0,0,0,,0,0,0,0,0,0,1,163,,0,1,0,0,0,,0,0,22,163,0,0,0
Apparel & Accessories,,Monday,,23248,updates@myntra.com,timesmith,6,1113279-3251817-2463503,24-06-2019 06:51:40 pm,COD,,Myntra,520013,,WandWagon,cspjw2i0,471,0,1999,0,399,0,0,,0,0,0,0,0,0,1,1600,,0,1,0,0,0,,0,72,18,1600,0,0,0
Apparel & Accessories,Bangalore,Tuesday,,118634,updates@myntra.com,lacoste,6,1113366-2049490-8854501,25-06-2019 06:39:34 pm,Online,,Myntra,560051,,WandWagon,csmj7cc7,0,0,4450,0,2670,0,0,,0,0,0,0,0,0,1,1780,,2990,1,0,0,0,,0,320,18,1780,0,0,0
Apparel & Accessories,Visakhapatnam,Friday,,30896,updates@myntra.com,flying machine,6,1113611-1019650-7831503,28-06-2019 02:41:27 pm,Online,,Myntra,531031,,Wiztech Corp,cs9ir237,1588,0,1599,0,1512,0,0,,0,0,0,0,0,0,1,960,,0,1,0,0,0,,0,76,14,960,0,0,0
Apparel & Accessories,Visakhapatnam,Friday,,30896,updates@myntra.com,flying machine,6,1113611-1019650-7831503,28-06-2019 02:41:27 pm,Online,,Myntra,531031,,Wiztech Corp,cs9ir237,1588,0,1249,0,1512,0,0,,0,0,0,0,0,0,1,875,,0,1,0,0,0,,0,76,14,875,0,0,0
Apparel & Accessories,Visakhapatnam,Friday,,30896,updates@myntra.com,flying machine,6,1113611-1019650-7831503,28-06-2019 02:41:27 pm,Online,,Myntra,531031,,Wiztech Corp,cs9ir237,1588,0,1249,0,1512,0,0,,0,0,0,0,0,0,1,750,,0,1,0,0,0,,0,76,14,750,0,0,0
Apparel & Accessories,Chandigarh,Tuesday,,9526,updates@myntra.com,moda rapido,7,1113967-7585804-5438603,02-07-2019 05:45:09 pm,COD,,Myntra,160036,,Mayazen,ct19f51l,1410,0,1799,0,1259,0,0,,0,0,0,0,0,0,1,540,,0,1,0,0,0,,0,151,17,540,0,0,0
Apparel & Accessories,Raipur,Wednesday,,84951,updates@myntra.com,sports52 wear,7,1113993-1384042-8527303,03-07-2019 12:48:42 am,Online,,Myntra,492001,,Blumentor,crielj05,2481,0,2495,0,2166,0,0,,0,0,0,0,0,0,1,1248,,0,1,0,0,0,,0,315,0,1248,0,0,0
Apparel & Accessories,Raipur,Wednesday,,84951,updates@myntra.com,united colors of benetton,7,1113993-1384042-8527303,03-07-2019 12:48:42 am,Online,,Myntra,492001,,Proleague,crielj05,2481,0,2299,0,2166,0,0,,0,0,0,0,0,0,1,1380,,0,1,0,0,0,,0,315,0,1380,0,0,0
Apparel & Accessories,,Wednesday,,161768,updates@myntra.com,roadster,7,1114045-6844859-0876601,03-07-2019 03:23:55 pm,COD,,Myntra,799001,,WandWagon,csl92fd0,762,0,1499,0,599,0,0,,15,0,0,0,0,0,1,900,,0,1,0,0,149,,0,29,15,915,0,0,0
Apparel & Accessories,Bhagalpur,Thursday,,8806,updates@myntra.com,ira soleil,7,1114087-6287432-6572101,04-07-2019 03:03:51 am,Online,,Myntra,813213,,Funfash,crz9opxx,1145,0,2065,0,1032,0,0,,83,0,0,0,0,0,1,1033,,0,1,0,0,149,,0,47,3,1116,0,0,0
Apparel & Accessories,Lucknow,Saturday,,33728,updates@myntra.com,allen solly,7,1114287-9622008-1622801,06-07-2019 10:41:53 am,COD,,Myntra,226016,,Blumentor,cs9ir1mc,2010,0,999,0,2023,0,0,,50,0,0,0,0,0,1,200,,0,1,0,0,0,,0,37,10,250,0,0,0
Apparel & Accessories,Lucknow,Saturday,,33728,updates@myntra.com,van heusen sport,7,1114287-9622008-1622801,06-07-2019 10:41:53 am,COD,,Myntra,226016,,Aditya Birla Fashion and Retail Limited (Madura Fashion & Lifestyle),cs9ir1mc,2010,0,2499,0,2023,0,0,,50,0,0,0,0,0,1,1275,,0,1,0,0,0,,0,37,10,1325,0,0,0
Apparel & Accessories,Bhagalpur,Monday,,8877,updates@myntra.com,ira soleil,7,1114455-4055364-2525503,08-07-2019 09:13:13 am,Online,,Myntra,813213,,Funfash,crz9opxx,1124,0,2065,0,929,0,0,,0,0,0,0,0,0,1,1136,,0,1,0,0,149,,0,46,9,1136,0,0,0
Apparel & Accessories,Lucknow,Monday,,33779,updates@myntra.com,deyann,7,1114483-6042118-5122203,08-07-2019 05:02:35 pm,COD,,Myntra,226016,,Proleague,cs9ir1mc,2166,0,990,0,2060,0,0,,72,0,0,0,0,0,1,594,,0,1,0,0,0,,0,178,17,666,0,0,0
Apparel & Accessories,Lucknow,Monday,,33779,updates@myntra.com,panahi,7,1114483-6042118-5122203,08-07-2019 05:02:35 pm,COD,,Myntra,226016,,Mayazen,cs9ir1mc,2166,0,990,0,2060,0,0,,72,0,0,0,0,0,1,495,,0,1,0,0,0,,0,178,17,567,0,0,0
Apparel & Accessories,Lucknow,Monday,,33779,updates@myntra.com,kisah,7,1114483-6042118-5122203,08-07-2019 05:02:35 pm,COD,,Myntra,226016,,Proleague,cs9ir1mc,2166,0,2599,0,2060,0,0,,72,0,0,0,0,0,1,1430,,0,1,0,0,0,,0,178,17,1502,0,0,0
Apparel & Accessories,Kanchipuram,Tuesday,,99564,updates@myntra.com,aarika,7,1114559-0312897-8365403,09-07-2019 02:01:29 pm,Online,,Myntra,600119,,Mayazen,cs1wf6e0,965,0,2220,0,777,0,0,,0,0,0,0,0,0,1,1443,,0,1,0,0,149,,0,39,14,1443,0,0,0
Apparel & Accessories,Bhagalpur,Thursday,,8935,updates@myntra.com,roadster,7,1114750-6517255-2706403,11-07-2019 07:14:20 pm,Online,,Myntra,813213,,WandWagon,crz9opxx,5392,0,1299,0,5142,0,0,,238,0,0,0,0,0,1,520,,0,1,0,0,0,,0,488,19,758,0,0,0
Apparel & Accessories,Bhagalpur,Thursday,,8935,updates@myntra.com,roadster,7,1114750-6517255-2706403,11-07-2019 07:14:20 pm,Online,,Myntra,813213,,WandWagon,crz9opxx,5392,0,999,0,5142,0,0,,238,0,0,0,0,0,1,500,,0,1,0,0,0,,0,488,19,738,0,0,0
Apparel & Accessories,Bhagalpur,Thursday,,8935,updates@myntra.com,red chief,7,1114750-6517255-2706403,11-07-2019 07:14:20 pm,Online,,Myntra,813213,,WandWagon,crz9opxx,5392,0,3895,0,5142,0,0,,238,0,0,0,0,0,1,1948,,0,1,0,0,0,,0,488,19,2186,0,0,0
Apparel & Accessories,Bhagalpur,Thursday,,8935,updates@myntra.com,roadster,7,1114750-6517255-2706403,11-07-2019 07:14:20 pm,Online,,Myntra,813213,,WandWagon,crz9opxx,5392,0,1699,0,5142,0,0,,238,0,0,0,0,0,1,1020,,0,1,0,0,0,,0,488,19,1258,0,0,0
